,id,earsize,gc_perc
0,17A,small,"{'G_percent': 20.0, 'C_percent': 21.0}"
1,24P,small,"{'G_percent': 22.0, 'C_percent': 17.0}"
2,09Q,large,"{'G_percent': 30.0, 'C_percent': 27.0}"
3,65Y,small,"{'G_percent': 19.0, 'C_percent': 21.0}"
4,19N,small,"{'G_percent': 17.0, 'C_percent': 19.0}"
5,92K,large,"{'G_percent': 33.0, 'C_percent': 28.999999999999996}"
6,33W,small,"{'G_percent': 24.0, 'C_percent': 28.000000000000004}"
7,98C,large,"{'G_percent': 32.0, 'C_percent': 31.0}"
8,75G,small,"{'G_percent': 20.0, 'C_percent': 27.0}"
9,88Q,large,"{'G_percent': 27.0, 'C_percent': 25.0}"
